key	rows	planThousand	factThousand
signal:hasFact	3025	1629792.56	1524587.18
signal:signed	2979	1621059.30	1519279.97
epgrade:verified-benefit	2057	256472.27	217631.13
epgrade:discretionary	654	87146.58	74298.63
epgrade:lawful-exclusive	559	404577.94	392454.89
signal:planYearMissing	552	294362.43	0.00
hygiene:G:edge_space	278	204620.13	165436.93
hygiene:G:invisible_char	253	196353.86	168939.30
signal:epFactDeviation	209	45981.84	33653.26
comment:missing_procedure_ref	158	388415.85	11893.10
signal:economyFlag	140	282959.74	224387.81
rule:status_on_data_rows	131	100329.38	77221.50
epgrade:unfounded	128	25053.89	14480.92
signal:factDateBeforePlan	115	177093.36	167188.99
signal:unmappedReasonEP	102	20389.39	10177.73
signal:highEconomy	92	189711.72	112053.78
signal:epRisk	76	126319.03	115926.44
signal:planSoon	66	97786.75	0.00
hygiene:G:missing_space_after_punct	52	12343.53	11541.61
signal:factWithoutDate	46	8733.26	5307.21
yearlong:stage	46	8733.26	5307.21
signal:overdue	44	18353.71	0.00
comment:foreign_text_in_ag	28	158577.31	139941.01
signal:lowCompetition	28	122402.16	121720.26
hygiene:G:double_space	26	11471.90	8686.20
hygiene:G:space_before_punct	16	3671.57	3620.57
comment:stage_marker_when_signed	15	22517.72	20362.33
comment:promise_after_fact	15	1798.13	1069.91
comment:ep_reason_on_competitive	13	601.87	483.82
signal:epJustificationMissing	11	1965.68	1757.02
signal:economyConflict	10	37719.46	36642.02
signal:methodReasonMismatch	9	1721.45	1714.22
rule:text_hygiene	8	31688.38	5524.77
comment:execution_claim_no_fact	8	272.00	0.00
signal:dateWithoutFact	8	272.00	0.00
rule:row_numbering	7	27844.27	2641.69
comment:denial_when_signed	6	971.82	860.41
hygiene:C:registry_mismatch	5	227.75	28.00
signal:earlyClosure	3	201.15	201.15
signal:factExceedsPlan	3	6317.40	6869.42
sequence:duplicate	2	13.40	13.40
signal:derivedFormulaBroken	2	230.00	0.00
sequence:countable_without_seq	1	15.39	0.00
comment:past_promise_no_fact	1	60.00	0.00
